42.3511251,-71.1149878,2023-2-26 12:11:30,10287340,1129,21914
42.3511236,-71.1149729,2023-2-26 12:11:31,9647856,1124,21971
42.3511241,-71.1149548,2023-2-26 12:11:32,9615476,1365,21614
42.3511233,-71.1149380,2023-2-26 12:11:33,9981988,1232,19674
42.3511268,-71.1149227,2023-2-26 12:11:34,9370236,1279,19335
42.3511289,-71.1149056,2023-2-26 12:11:35,9293478,1296,19530
42.3511282,-71.1148867,2023-2-26 12:11:36,10611082,1768,19644
42.3511242,-71.1148683,2023-2-26 12:11:37,10824560,1509,19513
42.3511202,-71.1148500,2023-2-26 12:11:38,10685608,1459,19482
42.3511180,-71.1148320,2023-2-26 12:11:39,10241730,1489,19352
42.3511162,-71.1148151,2023-2-26 12:11:40,10237038,1425,19013
42.3511167,-71.1148017,2023-2-26 12:11:41,10276682,1406,18945
42.3511165,-71.1147840,2023-2-26 12:11:42,10039198,1458,18754
42.3511269,-71.1147773,2023-2-26 12:11:43,5281919,1504,17728
42.3511279,-71.1147633,2023-2-26 12:11:44,7090274,1590,17810
42.3511284,-71.1147433,2023-2-26 12:11:45,7090274,1716,17442
42.3511376,-71.1147092,2023-2-26 12:11:46,7099828,3073,17255
42.3511457,-71.1146735,2023-2-26 12:11:47,7099828,3073,16907
42.3511538,-71.1146378,2023-2-26 12:11:48,7099828,3073,16559
42.3511619,-71.1146022,2023-2-26 12:11:49,7099828,3073,16211
42.3511700,-71.1145665,2023-2-26 12:11:50,7099828,3073,15863
42.3511782,-71.1145309,2023-2-26 12:11:51,7099828,3073,15515
42.3511863,-71.1144952,2023-2-26 12:11:52,7099828,3073,15167
42.3511944,-71.1144595,2023-2-26 12:11:53,7099828,3073,14818
42.3523930,-71.1106773,2023-2-26 12:11:54,4171758,27491,4298
42.3525777,-71.1104553,2023-2-26 12:11:55,4171758,27491,2082
42.3520281,-71.1108760,2023-2-26 12:11:56,4171758,2379,2658
42.3525281,-71.1120224,2023-2-26 12:11:57,6627871,1292,21543
42.3526137,-71.1130217,2023-2-26 12:11:58,9896676,1360,33910
42.3521108,-71.1136113,2023-2-26 12:11:59,10167708,1394,37821
42.3517462,-71.1140465,2023-2-26 12:12:0,9948456,1502,37956
42.3515688,-71.1141823,2023-2-26 12:12:1,10567246,1422,36634
42.3514377,-71.1142724,2023-2-26 12:12:2,10354564,1389,33354
42.3513608,-71.1143009,2023-2-26 12:12:3,10124898,1388,32776
42.3513698,-71.1143210,2023-2-26 12:12:4,9944400,1349,30110
42.3513352,-71.1143239,2023-2-26 12:12:5,9923556,1406,28866
42.3513283,-71.1143209,2023-2-26 12:12:6,4088389,2172,27107
42.3513142,-71.1143054,2023-2-26 12:12:7,5658691,1482,26182
42.3512786,-71.1143000,2023-2-26 12:12:8,8552228,1510,25856
42.3512581,-71.1142895,2023-2-26 12:12:9,9637408,1484,25181
42.3512471,-71.1142892,2023-2-26 12:12:10,9238158,1363,23011
42.3512352,-71.1142758,2023-2-26 12:12:11,8978686,1391,22089
42.3512307,-71.1142651,2023-2-26 12:12:12,8124596,1263,21179
42.3512278,-71.1142537,2023-2-26 12:12:13,9408080,1481,20711
