Latitude, Longitude, Date and Time, Heading (Returns heading in degrees * 10^-5), Ground Speed (mm/s), and Altitude (Returns the current altitude in mm above mean sea level).
42.3511189,-71.1142805,2023-2-27 11:44:15,9197484,1379,11379
42.3511175,-71.1142326,2023-2-27 11:44:18,9258736,747,9599
42.3511094,-71.1141873,2023-2-27 11:44:21,11738192,1088,8096
42.3511143,-71.1141604,2023-2-27 11:44:23,8728126,1452,7895
42.3511108,-71.1141245,2023-2-27 11:44:25,9938730,1366,7622
42.3511116,-71.1140737,2023-2-27 11:44:28,9392060,1475,7259
42.3511085,-71.1140264,2023-2-27 11:44:31,11241952,958,6656
42.3511102,-71.1139688,2023-2-27 11:44:34,10629496,1229,5522
42.3511094,-71.1139322,2023-2-27 11:44:36,9627998,1530,5312
42.3511298,-71.1139092,2023-2-27 11:44:38,951956,1815,3139
42.3511383,-71.1138564,2023-2-27 11:44:41,7182806,1250,1273
42.3511566,-71.1138377,2023-2-27 11:44:43,3571606,1370,-745
42.3511544,-71.1137981,2023-2-27 11:44:45,8760524,1711,-1167
42.3511598,-71.1137608,2023-2-27 11:44:48,9331280,1481,-3420
42.3511630,-71.1137226,2023-2-27 11:44:51,7803827,1093,-5426
42.3511577,-71.1136875,2023-2-27 11:44:53,10113142,1388,-5605
42.3511562,-71.1136514,2023-2-27 11:44:55,8953100,1274,-6289
42.3511509,-71.1135938,2023-2-27 11:44:58,9737924,1630,-6669
42.3511376,-71.1135235,2023-2-27 11:45:1,10070146,1689,-5713
42.3511283,-71.1134767,2023-2-27 11:45:3,10307152,2118,-4507
42.3511236,-71.1134184,2023-2-27 11:45:6,9591010,1338,-4954
42.3511163,-71.1133802,2023-2-27 11:45:8,9559476,1466,-4919
42.3511038,-71.1133177,2023-2-27 11:45:11,10202234,1597,-4126
42.3510964,-71.1132757,2023-2-27 11:45:13,10029664,1468,-3700
42.3510821,-71.1132166,2023-2-27 11:45:16,10855930,1669,-3315
42.3510707,-71.1131678,2023-2-27 11:45:19,10499090,929,-4713
42.3510607,-71.1131106,2023-2-27 11:45:22,10350824,1695,-4781
42.3510502,-71.1130448,2023-2-27 11:45:25,10680102,687,-3507
42.3510524,-71.1130187,2023-2-27 11:45:27,8733244,1054,-4389
42.3510429,-71.1129741,2023-2-27 11:45:29,11088216,1530,-3468
42.3510345,-71.1129093,2023-2-27 11:45:32,9743054,1449,-3765
42.3510285,-71.1128389,2023-2-27 11:45:35,9155472,1577,-2822
42.3510207,-71.1128022,2023-2-27 11:45:37,10723116,1574,-3156
42.3510110,-71.1127556,2023-2-27 11:45:40,10450862,1552,-2851
42.3510011,-71.1127175,2023-2-27 11:45:42,10628140,1633,-2954
42.3509920,-71.1126600,2023-2-27 11:45:45,9800920,2031,-2727
42.3509870,-71.1126235,2023-2-27 11:45:47,11399282,1390,-2553
42.3509815,-71.1125854,2023-2-27 11:45:49,9795300,1344,-2839
42.3509714,-71.1125206,2023-2-27 11:45:52,9911642,1738,-1829
42.3509656,-71.1124534,2023-2-27 11:45:55,9826790,1741,-708
42.3509628,-71.1124108,2023-2-27 11:45:57,9378580,1544,-71
42.3509580,-71.1123482,2023-2-27 11:46:0,9470560,1629,657
42.3509484,-71.1122805,2023-2-27 11:46:3,10370738,1775,2248
42.3509360,-71.1122123,2023-2-27 11:46:6,10538326,1701,3012
42.3509239,-71.1121490,2023-2-27 11:46:9,10048580,1320,3809
42.3509199,-71.1121100,2023-2-27 11:46:11,9618306,1536,3986
42.3509110,-71.1120440,2023-2-27 11:46:14,10334526,1791,4485
42.3509035,-71.1119997,2023-2-27 11:46:16,10127376,1532,4768
42.3508956,-71.1119333,2023-2-27 11:46:19,9462462,1626,6191
42.3508917,-71.1118942,2023-2-27 11:46:21,9667956,1593,6447
42.3508837,-71.1118324,2023-2-27 11:46:24,10457954,1748,6537
42.3508731,-71.1117741,2023-2-27 11:46:27,10025686,1555,6645
42.3508682,-71.1117338,2023-2-27 11:46:29,10112028,1755,7145
42.3508616,-71.1116936,2023-2-27 11:46:31,10281780,1619,7288
42.3508589,-71.1116360,2023-2-27 11:46:34,8921610,1715,7134
42.3508540,-71.1115832,2023-2-27 11:46:37,9730042,1424,7096
42.3508504,-71.1115457,2023-2-27 11:46:39,9812438,1695,7370
42.3508492,-71.1114886,2023-2-27 11:46:42,9825848,1606,7234
42.3508428,-71.1114545,2023-2-27 11:46:44,10469790,1313,6920
42.3508337,-71.1113999,2023-2-27 11:46:47,10252518,1552,7130
42.3508261,-71.1113609,2023-2-27 11:46:49,10197932,1514,7120
42.3508203,-71.1113230,2023-2-27 11:46:51,10217664,1639,6888
42.3508159,-71.1112710,2023-2-27 11:46:54,9359958,1321,6931
42.3508150,-71.1112351,2023-2-27 11:46:56,9110464,1450,7279
42.3508094,-71.1111774,2023-2-27 11:46:59,9958384,1585,7036
42.3508075,-71.1111402,2023-2-27 11:47:1,9407956,1608,6878
42.3508081,-71.1110818,2023-2-27 11:47:4,9191966,1636,7022
42.3508044,-71.1110160,2023-2-27 11:47:7,9259368,1570,6635
42.3508074,-71.1109796,2023-2-27 11:47:9,8593364,1548,6656
